Country,State,Year,Month,"Central Goods And Services Tax (Cgst) Revenue (UOM:INR(IndianRupees)), Scaling Factor:10000000","State Goods And Services Tax (Sgst)Revenue (UOM:INR(IndianRupees)), Scaling Factor:10000000","Integrated Goods And Services Tax (Igst)Revenue (UOM:INR(IndianRupees)), Scaling Factor:10000000","Cess Tax Revenue (UOM:INR(IndianRupees)), Scaling Factor:10000000","Total Revenue Collection (UOM:INR(IndianRupees)), Scaling Factor:10000000"
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2025","June, 2025",12.59,15.28,4.12,0.03,32.019999999999996
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2025","June, 2025",924.15,1225.4,1228.59,256.23,3634.3700000000003
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2025","June, 2025",33.88,46.71,7.46,0.16,88.21
India,Assam,"Financial Year (Apr - Mar), 2025","June, 2025",392.15,522.15,358.18,132.04,1404.52
India,Bihar,"Financial Year (Apr - Mar), 2025","June, 2025",447.92,842.07,238.43,180.48,1708.9
India,Chandigarh,"Financial Year (Apr - Mar), 2025","June, 2025",43.97,58.62,111.96,5.04,219.59
India,Chhattisgarh,"Financial Year (Apr - Mar), 2025","June, 2025",640.33,746.47,1204.06,685.2,3276.0600000000004
India,Delhi,"Financial Year (Apr - Mar), 2025","June, 2025",1135.27,1315.91,3075.33,83.29,5609.8
India,Goa,"Financial Year (Apr - Mar), 2025","June, 2025",153.78,193.12,199.84,4.25,550.99
India,Gujarat,"Financial Year (Apr - Mar), 2025","June, 2025",3141.5,3790.78,3558.62,549.22,11040.12
India,Haryana,"Financial Year (Apr - Mar), 2025","June, 2025",1638.59,2119.55,5478.42,722.69,9959.250000000002
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2025","June, 2025",153.23,213.67,527.82,7.73,902.45
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2025","June, 2025",156.78,214.19,181.14,13.85,565.96
India,Jharkhand,"Financial Year (Apr - Mar), 2025","June, 2025",610.29,781.24,1036.73,658.09,3086.3500000000004
India,Karnataka,"Financial Year (Apr - Mar), 2025","June, 2025",3182.2,3854.8,4747.49,1624.07,13408.56
India,Kerala,"Financial Year (Apr - Mar), 2025","June, 2025",1055.46,1304.6,489.64,6.53,2856.23
India,Ladakh,"Financial Year (Apr - Mar), 2025","June, 2025",11.07,13.76,3.14,0.06,28.029999999999998
India,Lakshadweep,"Financial Year (Apr - Mar), 2025","June, 2025",0.5,0.49,0.09,0,1.08
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2025","June, 2025",927.69,1167.62,1078.32,715.43,3889.06
India,Maharashtra,"Financial Year (Apr - Mar), 2025","June, 2025",8477.11,9839.21,9931.64,2304.74,30552.699999999997
India,Manipur,"Financial Year (Apr - Mar), 2025","June, 2025",13.93,18.79,7.08,0.07,39.87
India,Meghalaya,"Financial Year (Apr - Mar), 2025","June, 2025",28.06,35.73,106.01,2.62,172.42000000000002
India,Mizoram,"Financial Year (Apr - Mar), 2025","June, 2025",9.95,14.7,5.35,0.04,30.04
India,Nagaland,"Financial Year (Apr - Mar), 2025","June, 2025",32.51,41.91,8.64,1.41,84.46999999999998
India,Odisha,"Financial Year (Apr - Mar), 2025","June, 2025",1198.32,1506.2,1497.86,876.17,5078.55
India,Puducherry,"Financial Year (Apr - Mar), 2025","June, 2025",31.38,47.54,161.15,1.13,241.2
India,Punjab,"Financial Year (Apr - Mar), 2025","June, 2025",539.68,782.67,863.6,45.62,2231.5699999999997
India,Rajasthan,"Financial Year (Apr - Mar), 2025","June, 2025",1125.74,1514.77,1739.2,142.36,4522.07
India,Sikkim,"Financial Year (Apr - Mar), 2025","June, 2025",22.66,30.56,310.45,0.23,363.9
India,Tamil Nadu,"Financial Year (Apr - Mar), 2025","June, 2025",2886.21,3727.98,3348.63,712.71,10675.529999999999
India,Telangana,"Financial Year (Apr - Mar), 2025","June, 2025",1335.65,1707.52,1504.51,563.48,5111.16
India,The Dadra and Nagar Haveli and Daman and Diu,"Financial Year (Apr - Mar), 2025","June, 2025",48.5300000000000000000000,59.0300000000000000000000,302.6800000000000000000000,0.1900000000000000000000,410.4300000000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2025","June, 2025",32.51,43.41,11.3,0.04,87.25999999999999
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2025","June, 2025",2159.36,2911.61,2603.71,1573.56,9248.24
India,Uttarakhand,"Financial Year (Apr - Mar), 2025","June, 2025",360.45,549.19,778.36,11.43,1699.43
India,West Bengal,"Financial Year (Apr - Mar), 2025","June, 2025",1564.6,1969.88,1496.09,520.14,5550.71
India,Andaman and Nicobar Islands,"Financial Year (Apr - Mar), 2025","May, 2025",14.71,18.63,19.52,0.18,53.04
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2025","May, 2025",941.23,1189.75,1464.68,207.77,3803.43
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2025","May, 2025",60.02,78.1,12.18,0.5,150.8
India,Assam,"Financial Year (Apr - Mar), 2025","May, 2025",403.73,545.44,553.29,89.99,1592.45
India,Bihar,"Financial Year (Apr - Mar), 2025","May, 2025",418.75,764.94,514.78,172.04,1870.51
India,Chandigarh,"Financial Year (Apr - Mar), 2025","May, 2025",51.61,59.71,250.37,1.18,362.87
India,Chhattisgarh,"Financial Year (Apr - Mar), 2025","May, 2025",537.13,714.08,972.45,667.51,2891.17
India,Delhi,"Financial Year (Apr - Mar), 2025","May, 2025",2361.59,2546.41,5381.24,76.75,10365.99
India,Goa,"Financial Year (Apr - Mar), 2025","May, 2025",146.86,191.6,243.74,4.42,586.62
India,Gujarat,"Financial Year (Apr - Mar), 2025","May, 2025",3199.58,3897.65,4015.84,623.74,11736.81
India,Haryana,"Financial Year (Apr - Mar), 2025","May, 2025",1666.57,2080.53,5731.29,691.91,10170.3
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2025","May, 2025",148.51,203.64,489.03,8.09,849.27
India,Jammu and Kashmir,"Financial Year (Apr - Mar), 2025","May, 2025",138.34,201.87,224.95,12.89,578.0500000000001
India,Jharkhand,"Financial Year (Apr - Mar), 2025","May, 2025",537.96,744.42,958.46,665.96,2906.8
India,Karnataka,"Financial Year (Apr - Mar), 2025","May, 2025",3121.0,3792.1,6039.23,1346.17,14298.5
India,Kerala,"Financial Year (Apr - Mar), 2025","May, 2025",1007.61,1265.26,932.01,4.9,3209.78
India,Ladakh,"Financial Year (Apr - Mar), 2025","May, 2025",8.58,11.35,9.35,0.03,29.310000000000002
